Institute,Program,Quota,Category,Gender,Opening_Rank,Closing_Rank
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,6647,8004
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,836,836
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1719,5357
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1895,2385
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,7156,16490
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),14623,22244
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,347,964
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Female-only (including Supernumerary),560,560
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2303,2727
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),3165,3721
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,146,146
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,4848,6760
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),6622,9490
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,592,639
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Female-only (including Supernumerary),974,974
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2634,4254
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),4159,5601
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,961,1982
Indian Institute of Information Technology(IIIT) Vadodara Gujrat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),2522,2524
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,15707,29138
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,4462,4473
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,209,217
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,7640,10330
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,3738,5230
Indian Institute of Information Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1223,2601
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,7419,14377
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),12760,19246
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,526,526
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Female-only (including Supernumerary),893,893
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,1973,2375
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),3134,3607
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,3389,5250
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),4708,6658
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,263,263
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1676,2993
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),3495,4458
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1042,1338
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),1811,1811
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,9116,24332
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),26028,28619
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,3834,4238
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),4396,4396
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,157,157
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,6380,9616
Indian institute of information technology Raichur Karnataka,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),7653,11824
